,Unnamed: 0,TweetId,UserId,UserUsername,Date,Location,Tweet,Media,Likes,Retweets,Comments,Polarity,Sentiment
0,0,1741184697990803887,1227930071006109696,Monika97972733,2023-12-30 19:49:16+00:00,,pouv dir vérit entendu somm rétabl vérit urne defait clair têt pact trouv delà compt,"Media(photos=[MediaPhoto(url='https://pbs.twimg.com/media/GCnt6DeWwAAkNcw.jpg'), MediaPhoto(url='https://pbs.twimg.com/media/GCnt6HLXkAAqBkn.jpg'), MediaPhoto(url='https://pbs.twimg.com/media/GCnt6JfXcAAJj0B.jpg'), MediaPhoto(url='https://pbs.twimg.com/media/GCnuK1kXYAA8rs5.jpg')], videos=[], animated=[])",7,6,0,0.060000000000000005,Positive
1,1,1740788515531575328,1208280012,christianVASSE,2023-12-29 17:34:59+00:00,,banqu postal envisag ferm french bank communiqu publi décembr group banqu postal annonc quil étudi projet cessat dactiv banqu lign lanc,"Media(photos=[], videos=[], animated=[])",1,0,0,0.0,Neutral
2,2,1740744989058154507,1535250535275692034,GlobianceFR,2023-12-29 14:42:01+00:00,https://t.me/Globiance_FR,achet lign magasin laid cart dépens cryptomonnai stablecoin monnai fiduciair san avoir déplac fond pay lautr plus jour avant lanc,"Media(photos=[], videos=[], animated=[])",1,0,0,-0.27499999999999997,Negative
3,3,1740718257903181989,999981086984687616,ValueMulticaps,2023-12-29 12:55:48+00:00,"Pune, India",indic perform,"Media(photos=[MediaPhoto(url='https://pbs.twimg.com/media/GChF5hpasAAg48R.png')], videos=[], animated=[])",0,1,0,0.0,Neutral
4,4,1740602192678056287,1535250535275692034,GlobianceFR,2023-12-29 05:14:36+00:00,https://t.me/Globiance_FR,plus jour lexcit mont lapproch lanc officiel cart globianc ouvertur command décembr rest lécout mis jour,"Media(photos=[MediaPhoto(url='https://pbs.twimg.com/media/GCfceDDXQAAEGwx.jpg')], videos=[], animated=[])",3,1,0,0.075,Positive
5,5,1740568900826448091,65916086,kashmirobserver,2023-12-29 03:02:18+00:00,"Srinagar, Kashmir",jampk conduct dlrc meet bandipor,"Media(photos=[], videos=[], animated=[])",2,0,0,0.0,Neutral
7,7,1740071700484751521,1302685380152569858,WSagbe,2023-12-27 18:06:37+00:00,,inform aimabl clientel suit mouv dhumeur personnel servic temporair interrompus part négoci rétabl servic heur suivent communiqu,"Media(photos=[MediaPhoto(url='https://pbs.twimg.com/media/GCX5_WgWMAEkhhV.jpg')], videos=[], animated=[])",25,9,2,0.05,Positive
8,8,1740048899606454340,1535250535275692034,GlobianceFR,2023-12-27 16:36:00+00:00,https://t.me/Globiance_FR,cart globianc acced compt globianc laid cart globianc profit tout temp tout lieu command,"Media(photos=[MediaPhoto(url='https://pbs.twimg.com/media/GCXlQLMWcAAKuuc.jpg')], videos=[], animated=[])",1,0,0,-0.08666666666666667,Negative
9,9,1740040484884820228,1045461025494118401,globiance,2023-12-27 16:02:34+00:00,Hong Kong,globianc card her access your globianc account using your globianc card enjoy convenient flexibility managing your financ anytim anywher avail order,"Media(photos=[MediaPhoto(url='https://pbs.twimg.com/media/GCXdmI0a0AAqFBu.jpg')], videos=[], animated=[])",330,225,231,0.0,Neutral
10,10,1739841006340907054,1604079685821923329,BhagyaManohara,2023-12-27 02:49:55+00:00,Sri Lanka,pow,"Media(photos=[MediaPhoto(url='https://pbs.twimg.com/media/GCUoKvFXUAAp8Cq.jpg')], videos=[], animated=[])",0,0,0,0.0,Neutral
