,commenterID,UserName,Date,Text,Sentiment,Polarity
9529,UCl20e0m2x7uXeLQBjf9oOPA,@alejandroherrerabenitez6570,2021-06-23 16:02:12+00:00,holaaaaaaaaaa,Positive,1
9527,UC0MXakp6pnOQ1_ZfwNr9o-g,@brucsebas,2021-06-23 16:03:04+00:00,tercer,Neutral,0
9524,UCDSVu9316gI57Ac2OGSLtnw,@El_Girasol_Fachero,2021-06-23 16:04:00+00:00,buen dias tard memori tiburon,Positive,1
9525,UCLgsfvtBNKLsFUlVQHt4JnA,@askeldrar81,2021-06-23 16:04:00+00:00,economic pills milei gust,Neutral,0
9523,UC0qG7L7UhoOACNqUraXEc8Q,@happy1_2_3,2021-06-23 16:04:09+00:00,buen nuev vide,Positive,1
9522,UCcYzlip9XCv2wcb1Uqq6Gjw,@adrianontiverosmamani5439,2021-06-23 16:04:15+00:00,sig asiiiiiiiiiiii aprend contig escuel nunc dej youtub mandam salud seguidor hac años mandam salud favor,Neutral,0
9520,UCC9ItbtQLTzpEnmoOInSZrw,@silvialeticiavelascoperez6512,2021-06-23 16:06:04+00:00,pierd ningun vide tuyom gust much inform facil entend,Neutral,0
9519,UCzyjXg5HaHm3TvlLe7gAIIQ,@jaasielzabaicorona452,2021-06-23 16:08:32+00:00,encant vide explic bien,Positive,1
9518,UCxEX7aUg0twK0FxJ1VuOIMA,@gastonnieto4909,2021-06-23 16:13:39+00:00,argentin ayudaaa trab boton imprim,Neutral,0
9517,UC8XcpTKrhMAhCouPPqXGXDw,@derg2932,2021-06-23 16:13:49+00:00,buen jod econom pais,Negative,-1
9516,UCCVQOniBMBUuE9WoKn31lBA,@michelmendez1111,2021-06-23 16:15:31+00:00,mejor canal,Neutral,0
9515,UCCAgRHByCtq0rNLEFP6y7jw,@alaskjfgb4390,2021-06-23 16:17:19+00:00,numer buen vide,Positive,1
9514,UCSMvJPxKOiQ3MF5HSShVnMA,@sebastianrodrigogonzalesal7533,2021-06-23 16:21:04+00:00,banc argentinabrbqu pas diner ahorradobbrbs perdiob,Neutral,0
9512,UC9Yfj4RRhZSa1kWHcSpoVlA,@leonmonsivais2243,2021-06-23 16:22:27+00:00,graci memori tiburon vide sirv men espaci blanc pregunt banc central,Neutral,0
9511,UCrOscBNfT2mrcQZ_D4k5THg,@Gudi-,2021-06-23 16:29:31+00:00,podr hac vide bitcoin,Neutral,0
9510,UCuyCmk7lIRAbDp5ktCG6HPA,@SoySoloUnaE,2021-06-23 16:30:31+00:00,ultim interes banc quer sab dond sac ingresosbrbu vide,Neutral,0
9508,UC0rupKn75Hx7ssq_Ex0YAQQ,@helolamas,2021-06-23 16:34:08+00:00,funcion banc central argentin depreci moned gener inflacion emit hac años sac control paus gir papelit color tesor pag interes bon public,Negative,-1
9507,UCDZrckbS4n96yOYtox-yoaA,@kiryuanthony.3748,2021-06-23 16:35:09+00:00,niceeee,Positive,1
9504,UCfp6YMy3Wy7fttVbbPIQmtg,@diegoflores3292,2021-06-23 16:58:14+00:00,hol buenisim canal gust sab factor gener hiperinfl,Positive,1
9503,UCk83un2GYDX7dXG-0cprvoQ,@arielchampi9455,2021-06-23 16:58:47+00:00,graci dios pill econom,Neutral,0
9502,UCkw5jNaDxu80q-U8igCCKSA,@jordisonm94,2021-06-23 17:07:49+00:00,trabaj pued vide ahor dej laik excelent videobrbrbrlueg regres verl gust canal,Neutral,0
9501,UCpH5HVD82D-vxKEoINF4MAQ,@javierrodriguez5225,2021-06-23 17:08:55+00:00,gran vide explic rap sencill,Positive,1
9500,UCIFq3E-qRNJ4znVkqjM6W1g,@frando2006,2021-06-23 17:09:08+00:00,pais pued ten banc central,Neutral,0
9499,UCozUGK7EDirs8D0jb2F9ppw,@liljozee6345,2021-06-23 17:22:44+00:00,buen vide puntualiz dir pued control cantid diner circul ampli pued intent mediant herramient anterior tip interes reserv efect banc privadosbrbry añad encarn tierr verd opinablebrbrsalud,Neutral,0
9498,UCdjsBvnexI7Q_augNgYa5ew,@user-bu6zu1sw7i,2021-06-23 17:37:15+00:00,canal potencial aunqu echo men grad profund memori,Neutral,0
9497,UC6wiGRyiqOhRamTj9-fIjuQ,@krmr410,2021-06-23 17:47:07+00:00,crecimient econom grand per cre vide introductori util graci,Neutral,0
9496,UCayXnDxP1GwuO8LZjg4ZxvQ,@tomate_4f91,2021-06-23 18:01:21+00:00,cre venezuel impresion descontrol diner madur cad quier,Neutral,0
9495,UCNfeN4dyBIAcsPTjwXjJy9g,@boxtron_154,2021-06-23 18:17:12+00:00,dij economic pills quotl banc central modern reencarn diabl tierraquot,Neutral,0
9494,UCoI5I3bOTLU5_7IWrlZVgdQ,@benedictojairutiaromero3527,2021-06-23 18:33:55+00:00,exelent explic salud peru,Positive,1
9493,UCwuyFZ7acVuhfNeffeN8rOg,@tomasvojar,2021-06-23 18:47:31+00:00,vide cortoscom inflacion monopoli podr publiv instagram reels muuuy explic tem muuuuy necesari entend siend cortit atra person,Negative,-1
9492,UCjhNm1mFoJpb8HtO1A5sPUw,@JimmyK2012,2021-06-23 19:11:35+00:00,ecuador control tip interes pued imprim diner moned propi deflacion desemple crec,Neutral,0
9491,UCZpcBx0sAtHaZTw_NKVC2XA,@juicri,2021-06-23 19:45:23+00:00,banc central encarn servici,Neutral,0
9490,UCb4gYXaADmCHAREijnZeUeQ,@SrAlmeidaMedina,2021-06-23 19:51:45+00:00,deb hab banc central panhispan,Neutral,0
9489,UC6dOsj2chERYcLNkvTRAGCQ,@josueeliasleonfabian5391,2021-06-23 20:14:59+00:00,graci haor funcion banc central,Neutral,0
9488,UC1rW-N5ZyLgK2ncfjxgSn7w,@joseantoniomirandatirado7286,2021-06-23 21:12:56+00:00,buen resum ciert españ vergüenz funcion banc españ pesim control banc provoc grav crisis financ sufr hac años encim cumpl funcion atrev met pirric sub salari minim institu vergüenz conoc,Negative,-1
9487,UCsQW_FJyQ-jYSV17soUwuRg,@cristianzapataarenas4680,2021-06-23 21:30:49+00:00,excelent ide canal econom cos gust econom histori aprend muchisim memori felic,Positive,1
9486,UC1_ncRuRFvA8TrJA6_KPxvA,@manntecanarias,2021-06-23 21:46:03+00:00,banc central consig contrari quotobjetivosquot,Neutral,0
9485,UCxpBdjS9hE7YrltqtIrc_bA,@emiliorojas8122,2021-06-23 21:47:53+00:00,vide explic aser argentin volv pais ric,Neutral,0
9484,UCp3mcsGTaSOUB1uCnnWMTog,@gonzaloechenique9942,2021-06-23 22:48:10+00:00,bspoilerb funcion revis argentin respuest automat triplic cantid billet circul tres mes venezolan mism cambi mes hor,Neutral,0
9483,UCwuEGGNyvqsC4uwdlt2R08g,@BalenCM,2021-06-23 23:06:06+00:00,resum sirv hac,Neutral,0
9482,UCeBfgTK_nGeCGRGDPoxCVIA,@elpipi5865,2021-06-23 23:14:39+00:00,men efect val ose men papel call porq val venezuel compr poll necesit papelit algun pais moned fuert muchisisis men errad decis emitis inflacion inflacion destru economi sueld qued miseri emit cubr sector emergent termin argentin venezuel tod polit estat destru capital inversion sirv histori demostr opinion emitis gent pued ahorr moned invert gener trabaj porq moned val ener val diciembr casi mism pod proyect sab valor cos maner sub sab cuant valor magic unic enrriques estan gobiern estan part polic encant vide memori sab rolet amig desinform igual banc apreci trabaj hac esfuerz segu mir vide igual pprq gust trabaj hac,Negative,-1
9481,UC9lYRljL3dNG8IoQTV80esA,@JuanGonzalez-nh6vr,2021-06-23 23:35:46+00:00,exist algun form promov crecimient econom aument inflacion,Neutral,0
9480,UCGZiCqxAOga2Rp68ZRkHhUw,@danielito8357,2021-06-24 01:22:37+00:00,pregunt sub tip interes pued cre situacion deflacion,Neutral,0
9479,UCl1TgrzCV-q-MvhzIEKaRRQ,@benjamincutino2690,2021-06-24 04:26:13+00:00,pued hac vide monopsoni porf,Neutral,0
9478,UCHWdohAK_OCe-UH2HAM2fuQ,@farwynd2925,2021-06-24 11:32:08+00:00,banc priv evit domin gobiern,Neutral,0
9477,UCcxqhBCSj2-n1o-KF2mE1iw,@enriquefernandezco.4188,2021-06-24 14:55:12+00:00,com dic banc central sirv,Neutral,0
9476,UC7iiUwwzwntmr-NYd6qThGg,@pabloquezada9146,2021-06-24 15:40:30+00:00,encant algui explic tem maner sencill gran canal suscrit principal creem aprend,Positive,1
9475,UCxody7hX6tu3qAg1yzvE9Wg,@AxeAx,2021-06-24 16:30:14+00:00,cre hab relacion crecimient econom tip interes men form entend escuel austriac absolut termin med crecimient econom cre simil usand crecimient pued product inclus inclu gast estatal acuerd afirm,Neutral,0
9474,UCxiUb_YAq2ngW5hADgRvpiA,@mariorodriguezchenard4122,2021-06-24 19:13:57+00:00,primer vien cabez escuch banc central javiermilei,Neutral,0
